positie,speler,aantal_series,weken_gespeeld,gespeeld,punten,darts,gemiddelde
1,Niko Springer,1,1,11,29660,920,96.72
2,Darren Beveridge,1,1,19,53036,1672,95.16
3,Luke Littler,3,5,110,297414,9511,93.81
4,Paul Krohne,1,1,15,39579,1269,93.57
5,Jeffrey de Zwaan,1,1,18,48088,1544,93.44
6,Beau Greaves,2,3,40,107538,3464,93.13
7,Derek Coulson,8,15,267,719543,23198,93.05
8,Boris Krcmar,3,3,66,172038,5572,92.63
9,Scott Williams,1,1,12,35155,1141,92.43
10,Raymond Smith,2,3,63,165952,5406,92.09
11,Simon Stevenson,2,3,47,124477,4056,92.07
12,Jose de Sousa,1,1,15,39486,1288,91.97
13,Adam Leek,1,1,5,13632,445,91.9
14,Andy Baetens,3,3,57,150903,4956,91.35
15,Jack Aldridge,2,3,56,147670,4851,91.32
16,Tom Sykes,8,12,265,709772,23346,91.21
17,Darryl Pilgrim,9,11,179,472257,15537,91.19
18,Dom Taylor,4,4,79,212842,7010,91.09
19,Charlie Manby,3,5,98,265774,8791,90.7
20,Wesley Plaisier,2,2,44,115267,3813,90.69
21,Adam Sevada,2,2,35,89829,2973,90.64
22,Christian Kist,1,1,19,49016,1623,90.6
23,Tyler Thorpe,1,1,13,31169,1034,90.43
24,Connor Scutt,3,4,70,185969,6170,90.42
25,Daniel Klose,1,1,18,46300,1539,90.25
26,Henry Coates,5,6,105,273063,9079,90.23
27,Lukas Wenig,3,3,54,147097,4892,90.21
28,Berry Van Peer,1,1,25,67252,2239,90.11
29,James Beeton,1,1,8,20838,695,89.95
30,Andreas Harrysson,10,13,278,725383,24237,89.79
31,Andy Boulton,7,11,247,668334,22334,89.77
32,Jimmy Van Schie,7,10,231,618719,20678,89.76
33,Jack Drayton,3,4,91,240947,8053,89.76
34,Darius Labanauskas,2,4,94,260338,8704,89.73
35,Scott Robertson,3,4,56,149129,4986,89.73
36,Daniel Larsson,2,2,53,138797,4646,89.62
37,Oliver Mitchell,1,1,14,35694,1195,89.61
38,Jim Long,4,6,126,338892,11367,89.44
39,Steve Beaton,4,4,64,172582,5791,89.41
40,Jurjen van der Velde,2,3,80,213319,7165,89.32
41,Robbie Martin,3,3,65,166488,5593,89.3
42,Mervyn King,3,4,94,250526,8426,89.2
43,Matt Dennant,6,8,106,281638,9473,89.19
44,Danny Ayres,4,4,55,158007,5317,89.15
45,Jacob Taylor,2,3,67,186105,6264,89.13
46,Brandon Weening,1,1,26,70227,2366,89.05
47,David Pallett,4,5,59,157254,5302,88.98
48,Ben Robb,3,3,64,177490,5990,88.89
49,Boris Koltsov,1,1,26,73654,2487,88.85
50,Graham Usher,7,9,206,557680,18832,88.84
51,Ted Evetts,6,6,121,326383,11021,88.84
52,Robert Owen,2,2,43,119113,4027,88.74
53,Adam Gawlas,1,2,37,100477,3398,88.71
54,Matthew Dennant,1,1,8,21872,740,88.67
55,Josh Payne,2,3,52,147769,5001,88.64
56,Radek Szaganski,2,3,66,180376,6106,88.62
57,George Cressey,2,2,46,119774,4056,88.59
58,Justin Hood,7,8,108,288293,9770,88.52
59,John Henderson,10,11,241,646776,21921,88.51
60,Jack Tweddell,6,7,146,393108,13324,88.51
61,Owen Bates,3,4,59,158585,5376,88.5
62,Scott Taylor,13,21,406,1080557,36645,88.46
63,Reece Robinson,11,14,247,648806,22007,88.45
64,Rob Grundy,5,6,104,279527,9484,88.42
65,James Wilson,3,3,34,91511,3107,88.36
66,Kurt Parry,9,9,143,386346,13126,88.3
67,Jake Neale,1,1,12,32820,1115,88.3
68,Berry van Peer,3,4,91,245455,8342,88.27
69,Haupai Puha,1,1,10,27224,926,88.2
70,Leonard Gates,6,7,137,380919,12959,88.18
71,Danny Baggish,1,1,15,40493,1378,88.16
72,Kai Gotthardt,1,2,37,106245,3616,88.15
73,Chris Gilliland,5,5,103,279196,9512,88.06
74,Gary Stone,10,11,137,364268,12411,88.05
75,James Hurrell,5,5,89,243921,8313,88.03
76,Sebastian Bialecki,8,9,229,613445,20924,87.95
77,Gian van Veen,1,1,18,50297,1716,87.93
78,Richard Veenstra,1,1,25,64237,2192,87.92
79,Stowe Buntz,1,1,18,46119,1574,87.9
80,Jamai Van Den Herik,3,4,76,205172,7004,87.88
81,Stephen Burton,2,3,20,51785,1768,87.87
82,James Buckby,3,3,36,95461,3259,87.87
83,Cam Crabtree,8,10,174,455377,15549,87.86
84,Shane McGuirk,10,13,225,599176,20465,87.83
85,Graham Hall,7,8,196,526562,17992,87.8
86,Tommy Morris,11,17,267,710253,24267,87.8
87,Jeff Smith,5,6,113,311158,10633,87.79
88,Archie Self,3,5,94,249862,8540,87.77
89,Johan Geldenhuys,2,2,46,124552,4259,87.73
90,Steve West,12,19,399,1044678,35737,87.7
91,Nathan Potter,3,4,81,218266,7469,87.67
92,Bradley Brooks,4,5,92,251315,8602,87.65
93,Mike Warburton,13,14,277,745874,25563,87.53
94,Carl Batchelor,1,1,23,61330,2102,87.53
95,Carl Wilson,6,6,89,241102,8266,87.5
96,Jim McEwan,12,15,266,723037,24793,87.49
97,Dylan Slevin,4,4,79,211911,7268,87.47
98,Jenson Walker,8,10,184,495347,16991,87.46
99,Jason Askew,1,1,10,26337,904,87.4
100,Colin McGarry,1,1,28,72833,2500,87.4
101,Chris Landman,4,4,85,226869,7789,87.38
102,Christian Perez,1,1,18,48718,1673,87.36
103,Damian Mol,1,1,25,64550,2217,87.35
104,Ron Meulenkamp,6,7,107,287118,9862,87.34
105,Gilbert Van Der Meijden,3,3,77,204017,7009,87.32
106,Alex Williams,4,4,63,164385,5648,87.31
107,Sam Spivey,6,7,94,258149,8875,87.26
108,Kaya Baysal,1,1,14,36232,1246,87.24
109,Chas Barstow,14,17,233,609879,20980,87.21
110,Jamie Hughes,4,4,72,187448,6448,87.21
111,Chris Mason,1,2,39,110707,3809,87.19
112,Patrik Williams,2,2,42,113134,3893,87.18
113,Wayne Jones,3,4,81,211239,7270,87.17
114,Dan Read,5,7,129,337493,11619,87.14
115,Arjan Konterman,3,3,73,180252,6206,87.13
116,Simon Whitlock,4,5,73,191800,6609,87.06
117,Neil Duff,14,23,466,1222567,42144,87.03
118,David Evans,12,15,282,751843,25926,87.0
119,Alex Spellman,6,6,127,343633,11851,86.99
120,Jelle Klaasen,6,8,136,361431,12466,86.98
121,Andy Hamilton,14,17,290,766251,26439,86.95
122,Ryan Branley,6,6,100,272370,9399,86.94
123,Tommy Lishman,9,10,124,331700,11450,86.91
124,Joe Hunt,2,2,36,91739,3167,86.9
125,Johnny Haines,12,13,204,545668,18841,86.89
126,Shaun McDonald,4,4,40,110633,3820,86.88
127,Scott Mitchell,8,9,144,379488,13105,86.87
128,Jesús Noguera,1,1,25,66877,2311,86.82
129,Richie Howson,14,15,245,631153,21830,86.74
130,Aden Kirk,4,4,60,158737,5491,86.73
131,Dennie Olde Kalter,1,1,26,69218,2395,86.7
132,Steve Lennon,2,2,31,77282,2674,86.7
133,Harry Ward,9,9,158,431570,14939,86.67
134,Arron Monk,2,2,43,121535,4208,86.65
135,Andy Davidson,5,7,144,385546,13349,86.65
136,Rhys Griffin,1,1,25,65346,2263,86.63
137,Viktor Tingstrom,5,5,97,256364,8879,86.62
138,Llew Bevan,3,3,31,81685,2829,86.62
139,Krzysztof Kciuk,1,1,26,73439,2544,86.6
140,Jamie Owens,7,8,120,327787,11356,86.59
141,Nathan Girvan,5,5,110,290965,10086,86.55
142,Jeremy Fagg,2,3,58,157919,5474,86.55
143,Lee Evans,4,4,90,233333,8097,86.45
144,Oliver King,3,3,35,94262,3271,86.45
145,Anton Ostlund,3,4,92,249061,8644,86.44
146,Mike van Duivenbode,1,1,11,30824,1070,86.42
