series,series_id,series_status,positie,speler,weken_gespeeld,gespeeld,punten,darts,gemiddelde
Series 1,1,afgerond,1,Lukas Wenig,1,17,45199,1465,92.56
Series 1,1,afgerond,2,Scott Williams,1,12,35155,1141,92.43
Series 1,1,afgerond,3,Matt Dennant,1,8,23274,758,92.11
Series 1,1,afgerond,4,Darryl Pilgrim,1,11,30089,983,91.83
Series 1,1,afgerond,5,Daniel Klose,1,18,46300,1539,90.25
Series 1,1,afgerond,6,Graham Usher,2,46,123906,4121,90.2
Series 1,1,afgerond,7,Reece Colley,1,10,26365,879,89.98
Series 1,1,afgerond,8,Andy Hamilton,1,18,51027,1705,89.78
Series 1,1,afgerond,9,Conan Whitehead,2,39,106805,3580,89.5
Series 1,1,afgerond,10,Colin Osborne,1,11,32632,1095,89.4
Series 1,1,afgerond,11,James Hurrell,1,2,4722,159,89.09
Series 1,1,afgerond,12,Mike Gillet,1,8,21247,716,89.02
Series 1,1,afgerond,13,Josh Payne,2,27,81606,2758,88.77
Series 1,1,afgerond,14,Robert Owen,1,25,69030,2334,88.73
Series 1,1,afgerond,15,Conor Heneghan,1,25,65970,2240,88.35
Series 1,1,afgerond,16,Graham Hall,1,23,63108,2147,88.18
Series 1,1,afgerond,17,Stephen Burton,2,12,32731,1115,88.07
Series 1,1,afgerond,18,Sebastian Bialecki,1,25,70042,2393,87.81
Series 1,1,afgerond,19,Martin Thomas,1,13,32629,1117,87.63
Series 1,1,afgerond,20,David Pallett,1,12,30905,1059,87.55
Series 1,1,afgerond,21,Dan Read,1,27,73658,2525,87.51
Series 1,1,afgerond,22,Nick Kenny,1,8,23965,822,87.46
Series 1,1,afgerond,23,Nathan Girvan,1,23,62599,2150,87.35
Series 1,1,afgerond,24,Diogo Portela,1,2,5236,180,87.27
Series 1,1,afgerond,25,Scott Baker,1,26,67306,2314,87.26
Series 1,1,afgerond,26,Chris Mason,2,39,110707,3809,87.19
Series 1,1,afgerond,27,Danny Lauby,1,18,48918,1688,86.94
Series 1,1,afgerond,28,Ryan Furness,1,12,31292,1083,86.68
Series 1,1,afgerond,29,Richie Howson,1,10,26682,924,86.63
Series 1,1,afgerond,30,Ciaran Teehan,2,12,33157,1149,86.57
Series 1,1,afgerond,31,Rob Collins,1,25,69016,2392,86.56
Series 1,1,afgerond,32,Martin Adams,2,16,40232,1396,86.46
Series 1,1,afgerond,33,Mike Warburton,1,10,27068,940,86.39
Series 1,1,afgerond,34,Paul Hogan,1,3,7313,254,86.37
Series 1,1,afgerond,35,Thibault Tricole,1,28,73341,2548,86.35
Series 1,1,afgerond,36,Robert Thornton,1,12,35451,1232,86.33
Series 1,1,afgerond,37,Mark Dudbridge,1,18,50352,1750,86.32
Series 1,1,afgerond,38,Adam Smith-Neale,1,23,62317,2173,86.03
Series 1,1,afgerond,39,Justin Smith,1,25,68256,2382,85.96
Series 1,1,afgerond,40,Greg Ritchie,1,25,66738,2332,85.86
Series 1,1,afgerond,41,Peter Jacques,2,39,108124,3783,85.74
Series 1,1,afgerond,42,Arron Monk,1,14,41160,1441,85.69
Series 1,1,afgerond,43,Steve Brown,1,25,65688,2305,85.49
Series 1,1,afgerond,44,Chas Barstow,1,25,68607,2409,85.44
Series 1,1,afgerond,45,Alan Norris,1,10,28724,1012,85.15
Series 1,1,afgerond,46,Ryan Murray,1,25,64300,2271,84.94
Series 1,1,afgerond,47,Franz Roetzsch,1,25,64099,2268,84.79
Series 1,1,afgerond,48,James Richardson,1,25,67730,2400,84.66
Series 1,1,afgerond,49,Stefan Bellmont,1,25,70525,2500,84.63
Series 1,1,afgerond,50,Scott Walters,1,10,26739,948,84.62
Series 1,1,afgerond,51,Carl Wilkinson,1,10,29016,1029,84.59
Series 1,1,afgerond,52,Ryan Palmer,1,8,22811,809,84.59
Series 1,1,afgerond,53,Gavin Carlin,2,37,98864,3510,84.5
Series 1,1,afgerond,54,Lisa Ashton,1,18,48566,1730,84.22
Series 1,1,afgerond,55,Kevin Painter,1,25,64114,2285,84.18
Series 1,1,afgerond,56,Johnny Haines,1,8,20384,728,84.0
Series 1,1,afgerond,57,Jamie Kelling,1,25,67611,2419,83.85
Series 1,1,afgerond,58,Moreno Blom,1,28,68701,2466,83.58
Series 1,1,afgerond,59,Davy Proosten,1,25,66328,2381,83.57
Series 1,1,afgerond,60,Alec Small,1,25,70843,2549,83.38
Series 1,1,afgerond,61,Jordan Brooks,1,10,28878,1042,83.14
Series 1,1,afgerond,62,Alan Tabern,1,25,64785,2343,82.95
Series 1,1,afgerond,63,Kurt Parry,1,10,26275,951,82.89
Series 1,1,afgerond,64,Lee Evans,1,27,67519,2450,82.68
Series 1,1,afgerond,65,Gary Robson,1,28,74127,2695,82.52
Series 1,1,afgerond,66,Jarred Cole,1,8,19556,712,82.4
Series 1,1,afgerond,67,Andy Jenkins,1,10,27835,1014,82.35
Series 1,1,afgerond,68,Steve Haggerty,1,10,24540,896,82.17
Series 1,1,afgerond,69,Lee Shewan,1,12,34614,1274,81.51
