series,series_id,series_status,week,week_id,positie,speler,speler_bron,gespeeld,punten,darts,gemiddelde
Series 1,1,afgerond,Week 6,1,1,James Hurrell,James Hurrell,2,4722,159,89.09
Series 1,1,afgerond,Week 6,1,2,Ciaran Teehan,Ciaran Teehan,4,12667,428,88.79
Series 1,1,afgerond,Week 6,1,3,Stephen Burton,Stephen Burton,4,10420,357,87.56
Series 1,1,afgerond,Week 6,1,4,Diogo Portela,Diogo Portela,2,5236,180,87.27
Series 1,1,afgerond,Week 6,1,5,Paul Hogan,Paul Hogan,3,7313,254,86.37
Series 1,1,afgerond,Week 6,1,6,Martin Adams,Martin Adams,3,6733,237,85.23
Series 1,1,afgerond,Week 7,2,1,Reece Colley,Reece Colley,10,26365,879,89.98
Series 1,1,afgerond,Week 7,2,2,Graham Usher,Graham Usher,27,72128,2406,89.94
Series 1,1,afgerond,Week 7,2,3,Martin Thomas,Martin Thomas,13,32629,1117,87.63
Series 1,1,afgerond,Week 7,2,4,David Pallett,David Pallett,12,30905,1059,87.55
Series 1,1,afgerond,Week 7,2,5,Dan Read,Dan Read,27,73658,2525,87.51
Series 1,1,afgerond,Week 7,2,6,Nick Kenny,Nick Kenny,8,23965,822,87.46
Series 1,1,afgerond,Week 7,2,7,Justin Smith,Justin Smith,25,68256,2382,85.96
Series 1,1,afgerond,Week 7,2,8,James Richardson,James Richardson,25,67730,2400,84.66
Series 1,1,afgerond,Week 7,2,9,Carl Wilkinson,Carl Wilkinson,10,29016,1029,84.59
Series 1,1,afgerond,Week 7,2,10,Lisa Ashton,Lisa Ashton,18,48566,1730,84.22
Series 1,1,afgerond,Week 7,2,11,Alan Tabern,Alan Tabern,25,64785,2343,82.95
Series 1,1,afgerond,Week 7,2,12,Jarred Cole,Jarred Cole,8,19556,712,82.4
Series 1,1,afgerond,Week 8,3,1,Conan Whitehead,Conan Whitehead,12,32857,1094,90.1
Series 1,1,afgerond,Week 8,3,2,Andy Hamilton,Andy Hamilton,18,51027,1705,89.78
Series 1,1,afgerond,Week 8,3,3,Conor Heneghan,Conor Heneghan,25,65970,2240,88.35
Series 1,1,afgerond,Week 8,3,4,Ryan Furness,Ryan Furness,12,31292,1083,86.68
Series 1,1,afgerond,Week 8,3,5,Adam Smith-Neale,Adam Smith-Neale,23,62317,2173,86.03
Series 1,1,afgerond,Week 8,3,6,Steve Brown,Steve Brown,25,65688,2305,85.49
Series 1,1,afgerond,Week 8,3,7,Scott Walters,Scott Walters,10,26739,948,84.62
