Dartbond,Afkorting,teambeheer,NDB lid,website,kvk,agenda,,voorzitter,informatie verzoek gestuurd?,reactie gehad?, leden24955 (2022),update leden
Kempense Darts Organisatie,KDO,2,ja,https://kdodarts.nl/,40239167,geen,info@kdodarts.nl,,13-05-2025,,353,
Rijnmond Darts,RD,51,ja,https://www.rijnmonddarts.nl/,40346635,geen,mitchellschukkman@hotmail.com,Mitchell von Schükkmann,13-05-2025,,357,
Zeeuwse Darts Federatie,ZDF,46,ja,https://www.zdfdarts.nl/,40310818,https://www.zdfdarts.nl/agenda/,voorzitter@zdfdarts.nl,Shandro Meerdink ,13-05-2025,,423,
Darts in Delft,DID,27,ja,https://www.dartsindelft.nl,40398145,geen,info@dartsindelft.nl,Richard de Vos,13-05-2025,,470,
Darts Bond Almere en omgeving,DBA,26,ja,http://www.dartsbondalmere.nl/,40656718,https://www.dartsbondalmere.nl/ranking-agenda/,pr-sponsoring@dartsbondalmere.nl,,13-05-2025,,523,
Dart Vereniging Kennemerland,DVK,19,ja,http://www.dartvk.nl/,40596605,https://www.dartvk.nl/dvk-ranking/rankingagenda/,voorzitter@dartvk.nl,Ronald Schilder,13-05-2025,,533,
Darts Organisatie Groningen en Drenthe,DOGD,3,ja,https://www.dogd.nl,40025931,https://dartsorganisatiegroningendrenthe.nl/agenda/,info@dogd.nl,,13-05-2025,,582,
Rotterdamse Darts Organisatie,RDO,,ja,http://www.rdodarts.nl/rdo/index.php,40344268,geen,,,,,640,
West Brabantse Dart Federatie,WBDF,44,ja,https://www.wbdfdarts.nl/,40282469,https://www.wbdfdarts.nl/toernooi-agenda,info@wbdfdarts.nl,,13-05-2025,,721,
Roosendaalse Dartsfederatie,RDF,16,ja,https://rdfdarts.nl/,40284350,geen,rdfdarts@gmail.com,Linda Gulden,13-05-2025,,843,
Rivierenland Darts Bond,RDB,1,ja,rdbdarts.nl,40146284,https://rivierenlanddartsbond.nl/events/,,,,,877,
Darts Vereniging Stedendriehoek,DVS,36,nee,https://www.stedendriehoekdarts.nl/,40104154,https://stedendriehoekdarts.nl/Agenda,,,,,877,
Sallandse Dartcompetitie,SDC,11,ja,http://www.sdcdarts.nl/,40651090,https://www.sdcdarts.nl/toernooi-agenda/,voorzitter@sdcdarts.nl,Jos Groen,13-05-2025,,913,
Darts Organisatie Regio Amsterdam,DORA,29,ja,https://www.dora.nl/,40537517,https://www.dora.nl/index.php/nl/toernooi/toernooi-agenda,voorzitter@dora.nl,Gerard Elderenbosch,13-05-2025,,967,
Venlose Darts Organisatie,VDO,40,ja,https://www.vdodarts.nl/,40165797,https://vdodarts.nl/agenda/,voorzitter@vdodarts.nl,Stefan Pollmanns,13-05-2025,,1047,
Darts Bond Bollenstreek-Rijnland,DBBR,15,ja,https://www.dbbr.nl/,40448131,https://dbbr.nl/toernooi-agenda-2/,info@dbbr.nl,,13-05-2025,,1100,25 mei 2025
