asin	title	subtitle	extended_product_description	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url	purchase_date
0008312869	The 5 AM Club	Own Your Morning. Elevate Your Life.		Robin Sharma	Adam Verner			Business & Careers, Career Success, Health & Wellness, Physical Illness & Disease, Relationships, Parenting & Personal Development, Personal Development, Personal Success	664	True	0.0	4.3	1044	2021-08-14T10:27:03.199Z	2018-12-06	https://m.media-amazon.com/images/I/41EzPx5T5bL._SL500_.jpg	2021-08-14T10:27:03.199Z
0063097796	Influence, New and Expanded	The Psychology of Persuasion		Robert B. Cialdini	Robert B. Cialdini			Business & Careers, Marketing & Sales, Consumer Behavior & Market Research, Business & Careers, Career Success, Motivation & Self-Improvement, Relationships, Parenting & Personal Development, Personal Development, Personal Success	1243	True	96.0	4.7	2602	2023-11-19T09:31:22.034Z	2021-05-04	https://m.media-amazon.com/images/I/51BnAdZmzuS._SL500_.jpg	2023-11-19T09:31:22.034Z
0593150422	Mindset	The New Psychology of Success		Carol S. Dweck	Bernadette Dunne			Business & Careers, Career Success, Health & Wellness, Psychology & Mental Health, Psychology, Social Psychology & Interactions, Relationships, Parenting & Personal Development, Personal Development, Personal Success	623	True	99.0	4.6	8147	2026-04-02T05:15:11.164Z	2019-02-19	https://m.media-amazon.com/images/I/41ENTiGcWcL._SL500_.jpg	2026-04-02T05:15:11.164Z
0593216245	The Ruthless Elimination of Hurry	How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World		John Mark Comer, John Ortberg - introduction	John Mark Comer, Kris Koscheski			Business & Careers, Career Success, Motivation & Self-Improvement, Relationships, Parenting & Personal Development, Personal Development, Religion & Spirituality, Christianity, Christian Living, Spiritual Growth, Religion & Spirituality, Christianity, Ministry & Evangelism, Discipleship	320	True	99.0	4.8	9700	2025-06-03T09:35:34.609Z	2019-11-26	https://m.media-amazon.com/images/I/21yQBZzlkSL._SL500_.jpg	2025-06-03T09:35:34.609Z
0593294181	Greenlights			Matthew McConaughey	Matthew McConaughey			Biographies & Memoirs, Entertainment & Celebrities, Relationships, Parenting & Personal Development, Personal Development, Personal Success	411	True	0.0	4.8	185860	2022-07-16T15:28:39.675Z	2020-10-20	https://m.media-amazon.com/images/I/51m+AA2gNaL._SL500_.jpg	2022-07-16T15:28:39.675Z
0593409469	Unwinding Anxiety	New Science Shows How to Break the Cycles of Worry and Fear to Heal Your Mind		Judson Brewer MD PhD	Judson Brewer MD PhD			Health & Wellness, Psychology & Mental Health, Mental Health, Anxiety Disorders, Health & Wellness, Psychology & Mental Health, Psychology, Relationships, Parenting & Personal Development, Personal Development	440	False	0.0	4.6	1486	2023-01-17T15:08:57.848Z	2021-03-09	https://m.media-amazon.com/images/I/417wGJ00RTL._SL500_.jpg	2023-01-17T15:08:57.848Z
1250818974	Surrounded by Setbacks	Turning Obstacles into Success (When Everything Goes to Hell) [The Surrounded by Idiots Series]		Thomas Erikson	James Macnaughton	The Surrounded by Idiots Series		Business & Careers, Management & Leadership, Leadership, Business & Careers, Career Success, Relationships, Parenting & Personal Development, Personal Development, Personal Success	552	True	99.0	4.6	70	2024-04-23T08:13:32.720Z	2021-11-02	https://m.media-amazon.com/images/I/41XEpGZNxcL._SL500_.jpg	2024-04-23T08:13:32.720Z
1405544759	Hold Me Tight	Your Guide to the Most Successful Approach to Building Loving Relationships		Dr Sue Johnson	Helen Keeley			Relationships, Parenting & Personal Development, Personal Development, Relationships, Parenting & Personal Development, Relationships, Love, Dating & Attraction, Relationships, Parenting & Personal Development, Relationships, Marriage & Long-Term Partnerships	526	True	0.0	4.6	51	2020-03-31T08:15:16.091Z	2020-02-13	https://m.media-amazon.com/images/I/41KT2jN-W4L._SL500_.jpg	2020-03-31T08:15:16.091Z
1473597919	Slinging Arrows	How (Not) to Be a Professional Darts Player		Wayne Mardle	Wayne Mardle			Biographies & Memoirs, Sports	433	True	99.0	4.8	15	2026-02-26T18:00:11.345Z	2021-05-20	https://m.media-amazon.com/images/I/51e2sUdH-tS._SL500_.jpg	2026-02-26T18:00:11.345Z
1524779261	Atomic Habits	An Easy & Proven Way to Build Good Habits & Break Bad Ones		James Clear	James Clear			Business & Careers, Workplace & Organizational Behavior, Organizational Behavior, Health & Wellness, Psychology & Mental Health, Psychology, Social Psychology & Interactions, Relationships, Parenting & Personal Development, Personal Development, Personal Success	335	True	100.0	4.8	148434	2019-08-29T09:04:00.672Z	2018-10-16	https://m.media-amazon.com/images/I/513Y5o-DYtL._SL500_.jpg	2019-08-29T09:04:00.672Z
153849115X	Eat That Frog!			Brian Tracy	Brian Tracy			Business & Careers, Management & Leadership, Management, Business & Careers, Career Success, Motivation & Self-Improvement, Business & Careers, Career Success	157	True	100.0	4.7	1918	2019-10-03T06:28:16.394Z	2018-08-24	https://m.media-amazon.com/images/I/51N38zCWljL._SL500_.jpg	2019-10-03T06:28:16.394Z
1797111620	Unleash the Power Within	Personal Coaching to Transform Your Life!		Tony Robbins	Tony Robbins			Business & Careers, Career Success, Relationships, Parenting & Personal Development, Personal Development, Personal Success	376	False	79.0	4.8	4374	2021-12-08T11:22:28.512Z	2020-03-17	https://m.media-amazon.com/images/I/51vk6MFQTyL._SL500_.jpg	2021-12-08T11:22:28.512Z
179971876X	Andersen's Fairy Tales (AmazonClassics Edition)			Hans Christian Andersen	Nicola Barber			Children's Audiobooks, Fairy Tales, Folk Tales & Myths, Children's Audiobooks, Literature & Fiction, Classics	360	True	100.0	4.6	30	2021-03-31T07:47:52.917Z	2019-09-10	https://m.media-amazon.com/images/I/41ONiBTDX5L._SL500_.jpg	2021-03-31T07:47:52.917Z
1978676581	Robinson Crusoe (AmazonClassics Edition)			Daniel Defoe	Steve West			Literature & Fiction, Action & Adventure, Classics, Literature & Fiction, Classics, Literature & Fiction, Genre Fiction, Literary Fiction	1306	True	9.0	4.4	51	2025-08-26T09:31:23.696Z	2019-06-04	https://m.media-amazon.com/images/I/41yp6I1EkRL._SL500_.jpg	2025-08-26T09:31:23.696Z
B002UUKIR8	The Total Money Makeover	A Proven Plan for Financial Fitness		Dave Ramsey	Dave Ramsey			Business & Careers, Career Success, Education & Learning, Education, Money & Finance, Personal Finance, Money Management & Budgeting, Money & Finance, Personal Finance, Money Management & Budgeting, Religion & Spirituality, Christianity, Christian Living	221	True	100.0	4.7	44978	2018-01-17T13:22:30.405Z	2003-11-07	https://m.media-amazon.com/images/I/514Lrz665EL._SL500_.jpg	2018-01-17T13:22:30.405Z
B002UZJQXA	The Road Less Traveled	A New Psychology of Love, Values, and Spiritual Growth, 25th Anniversary Edition		M. Scott Peck	M. Scott Peck			Health & Wellness, Psychology & Mental Health, Mental Health, Anxiety Disorders, Health & Wellness, Psychology & Mental Health, Psychology, Relationships, Parenting & Personal Development, Personal Development, Personal Success, Relationships, Parenting & Personal Development, Personal Development, Stress Management, Religion & Spirituality	263	False	52.0	4.5	4917	2026-05-17T09:48:52.972Z	2002-10-25	https://m.media-amazon.com/images/I/51o6lkizbML._SL500_.jpg	2026-05-17T09:48:52.972Z
B002UZKPVW	James Earl Jones Reads The Bible: King James Version			Topics Media Group	James Earl Jones			Religion & Spirituality, Christianity, Bibles & Bible Study, Bible Study, Commentaries, Religion & Spirituality, Christianity, Bibles & Bible Study, Bible Study, New Testament, Religion & Spirituality, Christianity, Bibles & Bible Study, Bibles, Religion & Spirituality, Christianity, Ministry & Evangelism	1035	False	59.0	4.6	2153	2021-09-22T21:58:48.864Z	2003-12-04	https://m.media-amazon.com/images/I/51sxhKL81NL._SL500_.jpg	2021-09-22T21:58:48.864Z
B002UZL2D2	The Little Prince			Antoine de Saint-Exupéry, Richard Howard - translator	Humphrey Bower			Children's Audiobooks, Literature & Fiction, Classics	119	True	99.0	4.6	4425	2025-07-03T08:40:25.343Z	2009-03-27	https://m.media-amazon.com/images/I/51-MlKnv+iL._SL500_.jpg	2025-07-03T08:40:25.343Z
B002UZYY5K	Unlimited Power			Tony Robbins	Tony Robbins			Business & Careers, Career Success, Relationships, Parenting & Personal Development, Personal Development, Personal Success	50	True	100.0	4.4	4842	2021-12-08T10:18:49.159Z	2007-02-12	https://m.media-amazon.com/images/I/51wbIdr-NRL._SL500_.jpg	2021-12-08T10:18:49.159Z
B002V0GGFK	The Five Love Languages: The Secret to Love That Lasts			Gary Chapman	Gary Chapman			Relationships, Parenting & Personal Development, Relationships, Love, Dating & Attraction, Relationships, Parenting & Personal Development, Relationships, Marriage & Long-Term Partnerships, Religion & Spirituality, Christianity, Christian Living, Family, Religion & Spirituality, Christianity, Christian Living, Marriage & Relationships	286	False	0.0	4.8	43395	2024-12-02T10:17:52.123Z	2004-12-26	https://m.media-amazon.com/images/I/51S9NFlyKWL._SL500_.jpg	2024-12-02T10:17:52.123Z
B002V0JUY4	Selected Just So Stories			Rudyard Kipling	Johnny Morris			Children's Audiobooks, Animals & Nature, Animals, Children's Audiobooks, Literature & Fiction, Animal Fiction, Children's Audiobooks, Literature & Fiction, Classics, Children's Audiobooks, Literature & Fiction, Humorous Fiction	187	True	100.0	4.4	273	2021-02-15T09:58:22.000Z	2009-06-30	https://m.media-amazon.com/images/I/61iP73HftPL._SL500_.jpg	2021-02-15T09:58:22.000Z
B002V0PN36	The Power of Now	A Guide to Spiritual Enlightenment		Eckhart Tolle	Eckhart Tolle			Relationships, Parenting & Personal Development, Personal Development, Religion & Spirituality, Spirituality, Meditation	457	True	0.0	4.7	41172	2022-11-06T12:30:49.573Z	2000-12-31	https://m.media-amazon.com/images/I/41PvuQY91TL._SL500_.jpg	2022-11-06T12:30:49.573Z
B002V0Q4LG	The Alchemist	A Fable About Following Your Dream		Paulo Coelho	Jeremy Irons			Literature & Fiction, Classics, Literature & Fiction, Genre Fiction, Literary Fiction, Literature & Fiction, Genre Fiction, Metaphysical & Visionary, Relationships, Parenting & Personal Development, Personal Development	240	True	0.0	4.7	85855	2022-11-16T05:27:55.450Z	2004-12-26	https://m.media-amazon.com/images/I/510a46Y-G9L._SL500_.jpg	2022-11-16T05:27:55.450Z
B002V1NIMI	All Marketers Are Liars	The Power of Telling Authentic Stories in a Low-Trust World		Seth Godin	Seth Godin			Business & Careers, Marketing & Sales, Marketing	257	True	10.0	4.4	2108	2018-08-05T11:08:03.279Z	2005-05-25	https://m.media-amazon.com/images/I/418GjpdLW1L._SL500_.jpg	2018-08-05T11:08:03.279Z
B002V1OHGE	Awaken the Giant Within			Tony Robbins	Tony Robbins			Business & Careers, Career Success, Motivation & Self-Improvement, Relationships, Parenting & Personal Development, Personal Development, Personal Success	91	True	98.0	4.6	17850	2021-12-08T08:35:07.714Z	2007-02-12	https://m.media-amazon.com/images/I/51Rf1XDVkNL._SL500_.jpg	2021-12-08T08:35:07.714Z
B002V1OJ3A	How to Stop Worrying and Start Living	Time-Tested Methods for Conquering Worry		Dale Carnegie, Donna Dale Carnegie - introduction	Robert Petkoff			Health & Wellness, Psychology & Mental Health, Psychology, Money & Finance, Personal Finance, Relationships, Parenting & Personal Development, Personal Development, Creativity, Relationships, Parenting & Personal Development, Personal Development, Stress Management, Relationships, Parenting & Personal Development, Relationships	635	True	100.0	4.7	7933	2023-05-19T09:43:03.172Z	2007-01-30	https://m.media-amazon.com/images/I/41f9k4x7S3L._SL500_.jpg	2023-05-19T09:43:03.172Z
B002V5BV96	How to Win Friends & Influence People			Dale Carnegie	Andrew Macmillan, Andrew Macmillian			Business & Careers, Management & Leadership, Leadership, Health & Wellness, Psychology & Mental Health, Psychology, Relationships, Parenting & Personal Development, Personal Development, Communication & Social Skills, Relationships, Parenting & Personal Development, Relationships, Friendship	435	True	99.0	4.7	101801	2023-05-16T11:17:11.284Z	2004-09-16	https://m.media-amazon.com/images/I/51VX25vAb-L._SL500_.jpg	2023-05-16T11:17:11.284Z
B002V5D950	Think and Grow Rich			Napoleon Hill, Mitch Horowitz, Theresa Puskar	Erik Synnestvedt			Business & Careers, Management & Leadership, Leadership, Business & Careers, Career Success, Motivation & Self-Improvement, Relationships, Parenting & Personal Development, Personal Development, Personal Success	575	False	8.0	4.6	32829	2021-09-10T11:20:53.542Z	2007-10-16	https://m.media-amazon.com/images/I/61atv8Q26iL._SL500_.jpg	2021-09-10T11:20:53.542Z
B002V5GN4Y	The Secret			Rhonda Byrne	Rhonda Byrne	The Secret		Relationships, Parenting & Personal Development, Personal Development, Personal Success, Religion & Spirituality, Occult	264	True	99.0	4.6	30628	2025-06-18T12:08:48.188Z	2006-11-28	https://m.media-amazon.com/images/I/51Iu74EQyML._SL500_.jpg	2025-06-18T12:08:48.188Z
B002V5HAL4	The 7 Habits of Highly Effective People	Powerful Lessons in Personal Change		Stephen R. Covey	Stephen R. Covey			Business & Careers, Management & Leadership, Leadership, Business & Careers, Management & Leadership, Management, Business & Careers, Business Development & Entrepreneurship, Entrepreneurship, Business & Careers, Workplace & Organizational Behavior, Organizational Behavior, Relationships, Parenting & Personal Development, Personal Development, Personal Success	784	True	0.0	4.6	40312	2017-10-30T13:02:08.021Z	2004-10-01	https://m.media-amazon.com/images/I/51OuvCFwyZL._SL500_.jpg	2017-10-30T13:02:08.021Z
B002V8HK3E	The Power of Positive Thinking	A Practical Guide to Mastering the Problems of Everyday Living		Dr. Norman Vincent Peale	Dr. Norman Vincent Peale			Relationships, Parenting & Personal Development, Personal Development, Personal Success, Religion & Spirituality, Christianity, Christian Living, Spiritual Growth	226	True	100.0	4.6	9266	2019-02-22T15:30:48.539Z	2008-10-31	https://m.media-amazon.com/images/I/41CcfSSABeL._SL500_.jpg	2019-02-22T15:30:48.539Z
B002VA3GJO	The Four Agreements			don Miguel Ruiz	Peter Coyote			Relationships, Parenting & Personal Development, Personal Development, Personal Success, Religion & Spirituality, Other Religions, Practices & Sacred Texts	151	True	100.0	4.8	61892	2021-08-31T23:04:41.082Z	2005-01-27	https://m.media-amazon.com/images/I/61bzSxyLLlL._SL500_.jpg	2021-08-31T23:04:41.082Z
B002VA9U0S	Emotional Intelligence	Why It Can Matter More Than IQ		Daniel Goleman Ph.D.	Barrett Whitener			Health & Wellness, Psychology & Mental Health, Psychology, Relationships, Parenting & Personal Development, Personal Development, Emotions, Relationships, Parenting & Personal Development, Personal Development, Personal Success	812	False	0.0	4.2	3768	2024-10-02T09:19:30.488Z	2003-03-01	https://m.media-amazon.com/images/I/51eYN7dRy2L._SL500_.jpg	2024-10-02T09:19:30.488Z
B003IEQE1Y	Anne Frank: The Diary of a Young Girl	The Definitive Edition		Anne Frank	Selma Blair			Biographies & Memoirs, Historical, Children's Audiobooks, History, Military & Wars, History, Military, Wars & Conflicts, World War II, History, Modern, 20th Century, Teen & Young Adult, History & Culture	595	True	99.0	4.8	7634	2025-08-05T14:30:03.043Z	2010-05-25	https://m.media-amazon.com/images/I/51FeSmUzbRL._SL500_.jpg	2025-08-05T14:30:03.043Z
B003M8CICK	No Excuses!	The Power of Self-Discipline for Success in Your Life		Brian Tracy	Brian Tracy			Business & Careers, Career Success, Motivation & Self-Improvement, Relationships, Parenting & Personal Development, Personal Development, Personal Success	411	True	2.0	4.6	6572	2019-11-15T08:16:01.481Z	2010-05-17	https://m.media-amazon.com/images/I/51xAaZH4fTL._SL500_.jpg	2019-11-15T08:16:01.481Z
B003YM0QJQ	The Paradox of Choice	Why More is Less		Barry Schwartz	Ken Kliban			Business & Careers, Career Success, Motivation & Self-Improvement, Health & Wellness, Psychology & Mental Health, Psychology, Politics & Social Sciences, Anthropology, Politics & Social Sciences, Social Sciences	422	True	0.0	4.2	1897	2018-04-09T09:11:01.933Z	2010-09-07	https://m.media-amazon.com/images/I/41rJvsNboFL._SL500_.jpg	2018-04-09T09:11:01.933Z
B004CNGLYA	The 4-Hour Body	An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman		Timothy Ferriss	Zach McLarty			Health & Wellness, Fitness, Diet & Nutrition, Diets, Nutrition & Healthy Eating, Weight Loss & Weight Control, Health & Wellness, Fitness, Diet & Nutrition, Exercise & Fitness, Health & Wellness, Hygiene & Healthy Living	231	False	0.0	4.2	6418	2024-07-26T09:40:48.948Z	2010-12-14	https://m.media-amazon.com/images/I/51DzQS8OpnL._SL500_.jpg	2024-07-26T09:40:48.948Z
