ID;Title;cafenummer;Naam;Adres;Plaats;postcode;Telefoon;website;Speelgelenheid Map Locatie_address;Speelgelenheid Map Locatie_lat;Speelgelenheid Map Locatie_lng
1613;Q-Billiards Tiel;C280;Q-Billiards Tiel;Walstraatje 5;Tiel;4001 AZ;;;Walstraatje 5,Tiel,Netherlands;51.8883328;5.4335689
1614;Café Boemerang;C275;Café Boemerang;Plein 8;Tiel;4001 LJ;;;Plein 8,Tiel,Netherlands;;
1615;Minicamping tussen de Dijken Tiel;C276;Minicamping tussen de Dijken Tiel;Inundatiedijk Zuid 3;Tiel;4006 PD;;;Inundatiedijk Zuid 3,Tiel,Netherlands;;
1616;Eetcafé De Tol;C222;Eetcafé De Tol;Moleneind 11;Kapel-Avezaath;4013 NE;;;Moleneind 11,Kapel-Avezaath,Netherlands;51.8763976;5.3739943
1617;Voetbalvereniging ISC;C267;Voetbalvereniging ISC;Verhuizensestraat 8;Ingen;4031 KS;;;Verhuizensestraat 8,Ingen,Netherlands;;
1618;Cornerhouse;C200;Cornerhouse;Ommestraat 2;Kesteren;4041 AP;;;Ommestraat 2,Kesteren,Netherlands;;
1619;Gerrit van Riemsdijk Huis;C118;Gerrit van Riemsdijk Huis;J.R. Zeemanstraat 12 A;IJzendoorn;4053 JN;;;J.R. Zeemanstraat 12 A,IJzendoorn,Netherlands;;
1620;Café - Bar de Coehoorn;C265;Café - Bar de Coehoorn;Maasstraat 14;Grave;5361 GG;;;Maasstraat 14,Grave,Netherlands;;
1621;Café Spinners;C147;Café Spinners;Grotestraat 54;Cuijk;5431 DR;;;Grotestraat 54,Cuijk,Netherlands;;
1622;Pub Esser;C240;Pub Esser;Steenstraat 37;Boxmeer;5831 JA;;;Steenstraat 37,Boxmeer,Netherlands;;
1623;Café-zaal ?t Centrum;C168;Café-zaal ?t Centrum;Steenstraat 56;Boxmeer;5831 JG;;;Steenstraat 56,Boxmeer,Netherlands;;
1624;de Gouden Leeuw;C224;de Gouden Leeuw;Grotestraat 54;Sambeek;5836 AG;;;Grotestraat 54,Sambeek,Netherlands;;
1625;Café de Pruuver;C270;Café de Pruuver;Langstraat 4;Afferden;5851 BE;;;Langstraat 4,Afferden,Netherlands;;
