Cafenummer;Naam;Adres;Postcode;Plaats;PostadresAdres;PostadresPostcode;PostadresPlaats;Telefoon;Website;Emailadres
C280;"Q-Billiards Tiel";"Walstraatje 5";"4001 AZ";Tiel;"Walstraatje 5";"4001 AZ";Tiel;;;
C275;"Café Boemerang";"Plein 8";"4001 LJ";Tiel;"Plein 8";"4001 LJ";Tiel;"0344 625025";;
C276;"Minicamping tussen de Dijken Tiel";"Inundatiedijk Zuid 3";"4006 PD";Tiel;"Inundatiedijk Zuid 3";"4006 PD";Tiel;0648312486;;
C222;"Eetcafé De Tol";"Moleneind 11";"4013 NE";Kapel-Avezaath;"Moleneind 11";"4013 NE";Kapel-Avezaath;0344-662016;;
C267;"Voetbalvereniging ISC";"Verhuizensestraat 8";"4031 KS";Ingen;"Verhuizensestraat 8";"4031 KS";Ingen;0344-601853;;
C200;Cornerhouse;"Ommestraat 2";"4041 AP";Kesteren;"Ommestraat 2";"4041 AP";Kesteren;0488-481942;;
C118;"Gerrit van Riemsdijk Huis";"J.R. Zeemanstraat 12 A";"4053 JN";IJzendoorn;"J.R. Zeemanstraat 12 A";"4053 JN";IJzendoorn;0344-643311;;
C265;"Café - Bar de Coehoorn";"Maasstraat 14";"5361 GG";Grave;"Maasstraat 14";"5361 GG";Grave;"0486 471 028";;
C147;"Café Spinners";"Grotestraat 54";"5431 DR";Cuijk;"Grotestraat 54";"5431 DR";Cuijk;06-46063985;;
C240;"Pub Esser";"Steenstraat 37";"5831 JA";Boxmeer;"Steenstraat 37";"5831 JA";Boxmeer;06-55385020;;
C168;"Café-zaal ?t Centrum";"Steenstraat 56";"5831 JG";Boxmeer;"Steenstraat 56";"5831 JG";Boxmeer;0485-324187;;
C224;"de Gouden Leeuw";"Grotestraat 54";"5836 AG";Sambeek;"Grotestraat 54";"5836 AG";Sambeek;0485-572264;;
C270;"Café de Pruuver";"Langstraat 4";"5851 BE";Afferden;"Langstraat 4";"5851 BE";Afferden;0638291058;;
C144;"Café-Zaal De Heidebloem";"Gochsedijk 4";"5853 AC";Siebengewald;"Gochsedijk 4";"5853 AC";Siebengewald;0485-441513;;
C229;"Café De Beurs";"Lange Hezelstraat 94";"6511 CN";Nijmegen;"Lange Hezelstraat 94";"6511 CN";Nijmegen;024-3225150;;
C136;"Feestcafé de Gezelligheid";"Bloemerstraat 46";"6511 EK";Nijmegen;"Bloemerstraat 46";"6511 EK";Nijmegen;0611287241;;welkom@feestcafedegezelligheid.nl
C179;"Café Jo Jo";"van Welderenstraat 87";"6511 ME";Nijmegen;"van Welderenstraat 87";"6511 ME";Nijmegen;024-8489840;;
C047;"Café Pool";"Van Welderenstraat 99";"6511 MG";Nijmegen;"Van Welderenstraat 99";"6511 MG";Nijmegen;024-3604355;;
C282;"House of Billiards";"Graafseweg 39";6512BR;Nijmegen;"Graafseweg 39";6512BR;Nijmegen;0243605710;;
C255;"Café Piet Huisman";"St. Jacobslaan 30";"6533 BT";Nijmegen;"St. Jacobslaan 30";"6533 BT";Nijmegen;024-3552286;;
C051;"S.V. Hatert";"Winkelsteegseweg 208";"6534 AR";Nijmegen;"Winkelsteegseweg 208";"6534 AR";Nijmegen;024-3552835;;
